DAM_NAME,NAT_ID,CNTY_NAME,EAP,Last EAP Update
Reed Ranch Dam,MI00337,Oscoda,Not Required,
Uganski (Seng) Dam,MI00338,Oceana,Not Required,
7th Spectacle Lake Dam,MI00339,Otsego,Not Required,
Golden Lotus Dam,MI00340,Otsego,Yes,
Root Dam,MI00341,Ottawa,Not Required,
Munuscong Bay Dam,MI00342,Chippewa,Not Required,
Backus Creek Dam,MI00343,Roscommon,Not Required,16-Mar-09
Little Mud Lake Dam,MI00344,Roscommon,Yes,16-Mar-09
Denton Creek Flooding Dam,MI00345,Roscommon,Yes,16-Mar-09
Blomgren's Marsh Dam,MI00346,Dickinson,Not Required,
Lake James Dam,MI00347,Roscommon,Yes,29-Dec-05
Felch Mountain Dam,MI00348,Dickinson,Not Required,
Crystal Lake Level Control Dam,MI00349,Benzie,Not Required,
Robinson Creek Flooding Dam,MI00350,Roscommon,Not Required,
Priddy Lake Dam,MI00351,Roscommon,Yes,01-May-07
Atlanta Sportsmen Dam,MI00352,Montmorency,Not Required,
Sage Lake Dam,MI00353,Montmorency,Not Required,
Petobego Dam,MI00354,Grand Traverse,Not Required,
Milli-Ander Pond Dam,MI00355,Gratiot,Not Required,
Townline Creek Flooding Dam,MI00356,Clare,Not Required,
Pickerel Lake Dam,MI00357,Mecosta,Not Required,
Featherbed Dam,MI00358,Mecosta,Not Required,
Sawdel Lake Dam,MI00359,Lapeer,Not Required,
Chesaning Dam,MI00360,Saginaw,Not Required,
Frankenmuth Dam,MI00361,Saginaw,Not Required,
Groveland Dam #8,MI00362,Dickinson,Not Required,
Fords Dam,MI00363,Saint Clair,Not Required,
Winchester Dam,MI00364,Mecosta,Yes,21-Jul-99
Nankin Mill Dam,MI00365,Wayne,Yes,12-May-16
Fawn River Mill Dam,MI00366,Saint Joseph,Not Required,
Flowerfield Dam,MI00367,Saint Joseph,Not Required,
Hartenstene Dam,MI00368,Saint Joseph,Not Required,
Brockies Pond Dam,MI00369,Luce,Not Required,
Kings Mill Dam,MI00370,Saint Joseph,Not Required,
Lamberson Dam,MI00371,Saint Joseph,Yes,30-May-16
Buckies Pond Dam,MI00372,Luce,Not Required,
Fawn River Power Company Dam,MI00373,Saint Joseph,Not Required,
Portage Plant Dam,MI00374,Saint Joseph,Yes,21-Jun-04
Silver Creek Trout Pond Dam,MI00375,Luce,Not Required,
Kawkawlin Flooding Dam,MI00376,Midland,Not Required,
Manistique Papers Dam,MI00377,Schoolcraft,Yes,28-Jul-14
Byron Dam,MI00378,Shiawassee,Not Required,
Corunna Dam,MI00379,Shiawassee,Yes,07-Feb-05
Shiawassee Town Dam,MI00380,Shiawassee,Not Required,
Caro Dam,MI00381,Tuscola,Not Required,
Murphy Lake Level Control Structure,MI00382,Tuscola,Not Required,
Good Point Flooding Dam,MI00383,Montcalm,Not Required,
